=== DEBUG - PALAVRAS A DELETAR ===
Data: 2026-03-27 22:16:24
Total de palavras: 453
Palavras marcadas para remoção: 133

ÍNDICE  |  PALAVRA                          |  INÍCIO (s)  |  FIM (s)  |  DURAÇÃO
-------------------------------------------------------------------------------------
     7  |  é                                |     5.626   |     5.686  |     59 ms
    15  |  eu                               |    10.669   |    10.729  |     59 ms
    20  |  a                                |    12.590   |    12.630  |     40 ms
    23  |  eu,                              |    14.632   |    15.512  |    880 ms
    24  |  é,                               |    15.712   |    16.032  |    320 ms
    27  |  o                                |    18.054   |    18.074  |     20 ms
    32  |  de                               |    20.816   |    20.856  |     40 ms
    35  |  não,                             |    24.498   |    24.758  |    259 ms
    37  |  no,                              |    26.439   |    26.839  |    399 ms
    38  |  no                               |    27.460   |    27.560  |     99 ms
    42  |  é                                |    29.701   |    29.821  |    120 ms
    43  |  esse                             |    29.861   |    30.021  |    160 ms
    48  |  Que                              |    32.483   |    32.583  |    100 ms
    52  |  de                               |    34.405   |    34.485  |     79 ms
    55  |  você                             |    36.066   |    36.286  |    219 ms
    58  |  o                                |    37.787   |    37.827  |     39 ms
    62  |  em                               |    40.490   |    40.590  |    100 ms
    63  |  todos                            |    40.670   |    40.990  |    320 ms
    64  |  esses                            |    41.050   |    41.290  |    240 ms
    65  |  canal,                           |    41.450   |    41.731  |    280 ms
    66  |  em                               |    41.851   |    41.891  |     39 ms
    73  |  o                                |    46.274   |    46.354  |     79 ms
    78  |  você                             |    49.977   |    50.278  |    301 ms
    84  |  e                                |    55.402   |    55.422  |     19 ms
    85  |  A                                |    57.675   |    57.775  |    100 ms
    86  |  a,                               |    57.975   |    58.355  |    379 ms
    87  |  você                             |    59.096   |    59.256  |    160 ms
    91  |  e                                |    61.457   |    61.477  |     19 ms
   100  |  aí,                              |    66.579   |    66.639  |     60 ms
   104  |  E,                               |    72.482   |    72.502  |     19 ms
   105  |  daí,                             |    73.343   |    73.563  |    219 ms
   106  |  você,                            |    73.623   |    74.223  |    599 ms
   110  |  você                             |    75.964   |    76.184  |    219 ms
   111  |  vai                              |    76.224   |    76.344  |    119 ms
   114  |  o                                |    77.525   |    77.545  |     19 ms
   123  |  e                                |    83.167   |    83.207  |     39 ms
   127  |  as                               |    86.975   |    87.095  |    120 ms
   129  |  e                                |    88.296   |    88.336  |     39 ms
   130  |  as                               |    88.356   |    88.456  |    100 ms
   136  |  também                           |    91.378   |    91.679  |    301 ms
   142  |  ééé,                             |    95.302   |    95.842  |    539 ms
   144  |  né,                              |    96.823   |    96.903  |     80 ms
   145  |  por                              |    97.003   |    97.163  |    159 ms
   164  |  você                             |   108.913   |   109.153  |    240 ms
   178  |  to                               |   119.272   |   119.352  |     79 ms
   180  |  vamos                            |   120.453   |   120.633  |    179 ms
   181  |  ver.                             |   120.693   |   120.853  |    159 ms
   183  |  se                               |   122.674   |   122.754  |     79 ms
   184  |  põe                              |   122.874   |   123.174  |    300 ms
   185  |  só                               |   123.414   |   123.514  |     99 ms
